p,q,r,t
0.9974591412864534,0.0712408693383995,4.997980233618594,1
0.28544187515922875,-0.9583960224800514,4.994287237981181,2
-0.8617942626674328,-0.5072579706948882,4.989504986023957,3
-0.7083972561222366,0.7058139468149425,4.983841868948754,4
0.49704177663104093,0.8677266114874307,4.977418325362541,5
0.9686720570537213,-0.24834340314031342,4.9703156177955705,6
0.022689834871422936,-0.9997425525571608,4.962593403138461,7
-0.9553680953335882,-0.29541801302336296,4.954297903849453,8
-0.5480273139498657,0.8364604372980801,4.945466307702046,9
0.6504913200969004,0.759513688144323,4.936129378933216,10
0.9116284325211947,-0.411015329420874,4.926313120235737,11
-0.13664327505760868,-0.9906203184780387,4.916039888191658,12
-0.9886152054528448,-0.15046586173424736,4.905329173715983,13
-0.4264750333627211,0.9044993343934897,4.894198166792378,14
0.7442127582816331,0.6679426400603898,4.88266217662379,15
0.853916281339798,-0.5204104000332919,4.870734951590034,16
-0.25150513366794747,-0.9678559643555791,4.858428927796675,17
-0.9992062581982993,-0.039835330767468,4.845755425491903,18
-0.32861361270466843,0.9444644480048925,4.832724806623941,19
0.807634418557325,0.5896835133879627,4.819346602900321,20
0.7999924011124773,-0.600010131716368,4.805629621092706,21
-0.33929333214742186,-0.9406806231449116,4.791582030536847,22
-0.998841949582294,0.0481119502269651,4.777211436521525,23
-0.24793723916257016,0.9687760966479523,4.762524942364562,24
0.8526078473713687,0.522551297578296,4.7475292023242845,25
0.7510867960322412,-0.6602034722917037,4.7322304670161515,26
-0.4083790427731729,-0.9128124437274434,4.716634622646845,27
-0.9928388977750904,0.11946096879208551,4.7007472251076905,28
-0.18067948137341117,0.9835420301190159,4.684573529762394,29
0.8853397242008859,0.46494469859532683,4.668118517604051,30
0.7074733301592199,-0.7067400421041837,4.651386918331379,31
-0.4636451632317997,-0.8860209718803262,4.634383230795622,32
-0.9840368671584715,0.1779647270470773,4.617111741191232,33
-0.12434238157393275,0.9922393724019031,4.599576539300713,34
0.9095367792072425,0.41562344408047514,4.581781533053347,35
0.6690703370492469,-0.7431990877825451,4.563730461616363,36
-0.5082551777920788,-0.861206522413493,4.545426907203482,37
-0.9740896654542982,0.2261621622976163,4.52687430575799,38
-0.07713726663663063,0.9970204822850077,4.508075956644666,39
0.9275920878225996,0.37359459124686306,4.489035031465725,40
0.6356540020018425,-0.7719740861836242,4.469754582100028,41
-0.5443964665586439,-0.838828043879354,4.450237548051414,42
-0.9640079364399932,0.2658734632879073,4.430486763180642,43
-0.037720178448987576,0.9992883408395079,4.410504961885896,44
0.941129750769669,0.33804554754680716,4.390294784788585,45
0.6069468357887787,-0.7947424353373798,4.369858783974243,46
-0.5736483971806172,-0.8191016520628613,4.349199427832283,47
-0.9544235957958486,0.29845535644066207,4.3283191055332635,48
-0.00504801756182268,0.9999872586781772,4.307220131177837,49
0.951288938490263,0.3083007549553985,4.285904747647699,50
0.5826575571878283,-0.8127177683869798,4.264375130185516,51
-0.5971860245392193,-0.8021027690358904,4.242633389727864,52
-0.9457321865231787,0.32494712088905725,4.220681576012669,53
0.021707643018100756,0.9997643613545137,4.198521680480398,54
0.9588859276460115,0.28379178593195364,4.176155638986271,55
0.5624996601434146,-0.8267975159242698,4.153585334339027,56
-0.6159022706674308,-0.7878225644056553,4.1308125986802695,57
-0.9381752240202379,0.34616072716958596,4.107839215717009,58
0.04321601831831269,0.9990657514701979,4.084666922818871,59
0.964512912836666,0.26403568124655047,4.061297412990322,60
0.5461998482162432,-0.8376548966063249,4.0377323367273465,61
-0.6304858257029197,-0.77620076242407,4.013973303767114,62
-0.9318904550471845,0.36273982382963055,3.9900218847384568,63
0.06002480660877577,0.9981968856851734,3.9658796127202693,64
0.9686014435366739,0.24861867101782917,3.9415479847143207,65
0.5335013918646738,-0.8457991870878429,3.9170284630384415,66
-0.6414732550873635,-0.7671453988701374,3.8923224766455338,67
-0.9269438192077232,0.3752001546276331,3.8674314223733983,68
0.07258693836127046,0.9973620889021886,3.8423566661299913,69
0.9714648466490758,0.23718358232619613,3.8170995440183173,70
0.5241648646545104,-0.8516168121060779,3.7916613634048737,71
-0.6492852254957464,-0.7605449992952014,3.7660434039352237,72
-0.9233504333479872,0.3839583014287935,3.7402469185000236,73
0.0812802295136441,0.9966912883587422,3.7142731341545616,74
0.9733275522616309,0.22941986838193013,3.6881232529946555,75
0.5179675172307188,-0.8554002870550401,3.6617984529915266,76
-0.6542525044670189,-0.7562761799756974,3.635299888788095,77
-0.9210887176241448,0.38935276326938856,3.6086286924589537,78
0.08642224137098317,0.9962585990577022,3.5817859742361273,79
0.9743459319185843,0.22505555970405494,3.554772823202571,80
0.5147019600532892,-0.8573691692131822,3.5275903079552275,81
-0.6566351279149958,-0.7542083987785186,3.5002394772393397,82
-0.920110093484863,0.3916598216147233,3.4727213605556053,83
0.08828179030165846,0.9960955403479799,3.445036968741646,84
0.9746234564352423,0.22385066041050958,3.4171872945291693,85
0.514174522409655,-0.8576855837104895,3.389173313078129,86
-0.6566368609866439,-0.754206889913906,3.3609959824890634,87
-0.9203457455057463,0.39110575133775766,3.3326562442947774,88
0.0870880482925216,0.9962006182715404,3.3041550239323985,89
0.9742219487872278,0.22559165432527903,3.27549323119682,90
0.5162034922218758,-0.8564659681609887,3.2466717606764575,91
-0.654416331896336,-0.7561344222738074,3.2176914921721993,92
-0.921711394210969,0.3878764052912625,3.1885532911003693,93
0.08303786886036504,0.9965463924650617,3.159258008880488,94
0.9731700920677026,0.23008687903689617,3.1298064833085455,95
0.520617350933076,-0.8537901228682763,3.100199538916499,96
-0.6500957621662296,-0.7598522882860255,3.070437987318615,97
-0.9241106986791724,0.3821248704110893,3.040522627545286,98
0.0763017784530776,0.9970847700195292,3.010454246364897,99
0.971469971777145,0.23716258966226755,2.9802336185942764,100
